POL o Puerto de origen;NAVIERA FCL;POD o Puerto de destino;DIAS LIBRES;VIGENCIA DESDE ;VIGENCIA HASTA;AGENTE;CONTRATO;TIEMPO DE TRANSITO;MONEDA;20 GP;40 GP;40 HC;40 NOR
ANQING;Maersk A/S trading as Sealand Americas.;POSORJA;21;15/12/2025;21/12/2025;AIR SEA WORLDWIDE (CHINA) LTD.                                                                      ;298430991;35-42;DOLAR;1,920.00;2,440.00;2,440.00;
ANQING;MEDITERRANEAN SHIPPING COMPANY;GUAYAQUIL;21;15/12/2025;21/12/2025;AIR SEA WORLDWIDE (CHINA) LTD.                                                                      ;308-88880-ST;40-45;DOLAR;1,534.00;1,852.00;1,852.00;
ANQING;MEDITERRANEAN SHIPPING COMPANY;GUAYAQUIL;21;15/12/2025;21/12/2025;AIR SEA WORLDWIDE (CHINA) LTD.                                                                      ;308-88880-ST;40-45;DOLAR;1,634.00;2,052.00;2,052.00;
ANQING;OCEAN NETWORK EXPRESS PTE. LTD.;GUAYAQUIL;15;15/12/2025;21/12/2025;AIR SEA WORLDWIDE (CHINA) LTD.                                                                      ;HKGN03275A;50-50;DOLAR;1,565.00;1,990.00;1,990.00;
ANQING;ZIM INTEGRATED SHIPPING SERVICES;GUAYAQUIL;21;15/12/2025;21/12/2025;AIR SEA WORLDWIDE (CHINA) LTD.                                                                      ;7110442322;29-33;DOLAR;1,565.00;2,065.00;2,065.00;
ANQING;ZIM INTEGRATED SHIPPING SERVICES;GUAYAQUIL;21;15/12/2025;21/12/2025;AIR SEA WORLDWIDE (CHINA) LTD.                                                                      ;7110442322;29-33;DOLAR;1,565.00;2,065.00;2,065.00;
BANGKOK;OCEAN NETWORK EXPRESS PTE. LTD.;GUAYAQUIL;15;15/12/2025;21/12/2025;AIR SEA WORLDWIDE (CHINA) LTD.                                                                      ;HKGN03275A;64-71;DOLAR;1,365.00;1,715.00;1,715.00;
BANGKOK;ZIM INTEGRATED SHIPPING SERVICES;GUAYAQUIL;21;15/12/2025;21/12/2025;AIR SEA WORLDWIDE (CHINA) LTD.                                                                      ;7110442322;29-33;DOLAR;1,515.00;1,765.00;1,765.00;
BEIHAI;MEDITERRANEAN SHIPPING COMPANY;GUAYAQUIL;21;15/12/2025;21/12/2025;AIR SEA WORLDWIDE (CHINA) LTD.                                                                      ;308-88880-ST;52-54;DOLAR;1,557.00;1,886.00;1,886.00;
BEIHAI;MEDITERRANEAN SHIPPING COMPANY;GUAYAQUIL;21;15/12/2025;21/12/2025;AIR SEA WORLDWIDE (CHINA) LTD.                                                                      ;308-88880-ST;52-54;DOLAR;1,657.00;2,086.00;2,086.00;
BEIJIAO;EVERGREEN LINE;GUAYAQUIL;21;15/12/2025;21/12/2025;AIR SEA WORLDWIDE (CHINA) LTD.                                                                      ;G260086;38-38;DOLAR;1,450.00;1,650.00;1,650.00;
BEIJIAO;EVERGREEN LINE;GUAYAQUIL;21;15/12/2025;21/12/2025;AIR SEA WORLDWIDE (CHINA) LTD.                                                                      ;G260086;38-38;DOLAR;1,450.00;1,650.00;1,650.00;
BEIJIAO;Maersk A/S trading as Sealand Americas.;POSORJA;21;15/12/2025;21/12/2025;AIR SEA WORLDWIDE (CHINA) LTD.                                                                      ;298430991;35-42;DOLAR;1,790.00;2,180.00;2,180.00;
BEIJIAO;MEDITERRANEAN SHIPPING COMPANY;GUAYAQUIL;21;15/12/2025;21/12/2025;AIR SEA WORLDWIDE (CHINA) LTD.                                                                      ;308-88880-ST;40-45;DOLAR;1,490.00;1,767.00;1,767.00;
BEIJIAO;MEDITERRANEAN SHIPPING COMPANY;GUAYAQUIL;21;15/12/2025;21/12/2025;AIR SEA WORLDWIDE (CHINA) LTD.                                                                      ;308-88880-ST;40-45;DOLAR;1,590.00;1,967.00;1,967.00;
