ORIGEN;NAVIERA LCL;DESTINO;VIGENCIA DESDE ;VIGENCIA HASTA;TIEMPO DE TRANSITO;MONEDA;FLETE MARITIMO LCL
AARHUS;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;50-50;EUROS;70.00
AARHUS;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;50-50;EUROS;70.00
AARHUS;SACO SHIPPING S.A.;GUAYAQUIL;01/12/2025;31/12/2025;24-24;EUROS;62.00
AMBARLI;SACO SHIPPING S.A.;GUAYAQUIL;01/12/2025;31/12/2025;55-55;DOLAR;75.00
AMBERES;CRAFT ECUADOR MULTIMODAL CRAFTECMUL S.A.;POSORJA;01/12/2025;31/12/2025;30-30;EUROS;40.00
AMBERES;CRAFT ECUADOR MULTIMODAL CRAFTECMUL S.A.;POSORJA;01/12/2025;31/12/2025;30-30;EUROS;40.00
AMBERES;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;30-30;EUROS;60.00
AMBERES;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;30-30;EUROS;60.00
AMBERES;SACO SHIPPING S.A.;GUAYAQUIL;01/12/2025;31/12/2025;26-26;EUROS;50.00
ATLANTA;CRAFT ECUADOR MULTIMODAL CRAFTECMUL S.A.;GUAYAQUIL;08/12/2025;31/12/2025;19-19;DOLAR;170.00
ATLANTA;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;17-17;DOLAR;135.00
ATLANTA;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;17-17;DOLAR;135.00
ATLANTA;SACO SHIPPING S.A.;GUAYAQUIL;01/12/2025;31/12/2025;15-15;DOLAR;148.00
AUCKLAND (NZ);ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;80-80;DOLAR;65.00
AUCKLAND (NZ);ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;80-80;DOLAR;65.00
BALBOA;SACO SHIPPING S.A.;GUAYAQUIL;01/12/2025;31/12/2025;4-4;DOLAR;50.00
BALTIMORE;CRAFT ECUADOR MULTIMODAL CRAFTECMUL S.A.;GUAYAQUIL;08/12/2025;31/12/2025;22-22;DOLAR;180.00
BALTIMORE;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;20-20;DOLAR;75.00
BALTIMORE;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;20-20;DOLAR;75.00
BALTIMORE;SACO SHIPPING S.A.;GUAYAQUIL;01/12/2025;31/12/2025;29-29;DOLAR;149.00
BANGALORE;CHARTER LINK LOGISTICS ECUADOR S.A.S.;GUAYAQUIL;01/12/2025;31/12/2025;85-85;DOLAR;63.00
BANGALORE;CRAFT ECUADOR MULTIMODAL CRAFTECMUL S.A.;GUAYAQUIL;08/12/2025;31/12/2025;60-60;DOLAR;170.00
BANGKOK;CHARTER LINK LOGISTICS ECUADOR S.A.S.;GUAYAQUIL;01/12/2025;31/12/2025;50-50;DOLAR;18.00
BANGKOK;CRAFT ECUADOR MULTIMODAL CRAFTECMUL S.A.;GUAYAQUIL;08/12/2025;31/12/2025;50-50;DOLAR;148.00
BANGKOK;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;70-70;DOLAR;35.00
BARCELONA;CHARTER LINK LOGISTICS ECUADOR S.A.S.;GUAYAQUIL;01/12/2025;31/12/2025;28;EUROS;45.00
BARCELONA;CHARTER LINK LOGISTICS ECUADOR S.A.S.;GUAYAQUIL;01/12/2025;31/12/2025;28;EUROS;45.00
BARCELONA;CHARTER LINK LOGISTICS ECUADOR S.A.S.;GUAYAQUIL;01/12/2025;31/12/2025;28;EUROS;45.00
BARCELONA;CRAFT ECUADOR MULTIMODAL CRAFTECMUL S.A.;GUAYAQUIL;01/12/2025;31/12/2025;28-28;EUROS;41.00
